Conference,Division,Team,GameType,Week,Venue,VenueCapacity,VenueSurface,VenueType,Temperature,WeatherCondition,Humidity,WindSpeed,WindDirection,TotalFirstDowns,PassingFirstDowns,RushingFirstDowns,PenaltyFirstDowns,ThirdDownAttempts,ThirdDownConversions,ThirdDownConversion%,ThirdDownPassingConversions,ThirdDownRushingConversions,ThirdDownPenaltyConversions,FourthDownAttempts,FourthDownConversions,FourthDownConversion%,FourthDownPassingConversions,FourthDownRushingConversions,FourthDownPenaltyConversions,TotalPlays,TotalYards,YardsperPlay,RushingPlays,RushingYards,RushingYardsperPlay,PassingPlays,PassingCompletions,PassingYardsperPlay,Interceptions,Sacks,NetPassingYards,GrossPassingYards,SackYards,TotalReturnYards,PuntReturns,PuntReturnYards,Kick-offReturns,Kick-offReturnYards,InterceptionReturns,InterceptionReturnYards,Kick-offs,Kick-offsinEndzone,Touchbacks,Punts,AveragePuntYards,PuntsBlocked,AverageNetPuntYards,Penalties,PenaltyYards,Fumbles,FumblesLost,TotalTD,PassingTD,RushingTD,InterceptionTD,FumbleTD,PuntReturnTD,Kick-offReturnTD,FieldGoalReturnTD,ExtraPointAttempts,ExtraPointsMade,ExtraPointsBlocked,Two-PointConversionAttempts,Two-PointConversionsMade,FieldGoalAttempts,FieldGoalsMade,FieldGoalsBlocked,RedzoneVisits,RedzoneTD,RedzoneEfficiency,Goal-to-goAttempts,Goal-to-goTD,Goal-to-goEfficiency,Safeties,Turnovers,PointsScored,TimeofPossesion,Win/Loss
AFC,AFC South,HOU,REG,1,NRG Stadium,71054,turf,retractable_dome,0,0,0,0,0,16,8,5,3,14,7,50,4,3,0,0,0,0,0,0,0,56,321,5.732,34,115,3.382,22,14,9.364,0,0,206,206,0,28,4,28,1,27,0,0,4,4,2,6,51,0,38.333,6,45,2,1,2,1,0,0,0,0,0,0,2,2,0,0,0,1,1,0,2,0,0,0,0,0,0,1,17,29:06:00,L
AFC,AFC South,IND,REG,1,Sports Authority Field at Mile High,76125,turf,outdoor,77,Partly Cloudy ,24,11,SSW,24,20,2,2,13,4,30.769,4,0,0,4,2,50,2,0,0,70,408,5.829,14,54,3.857,53,35,6.321,2,3,354,370,16,24,5,24,0,0,0,0,5,4,4,4,49.75,0,43.75,9,45,1,0,3,2,1,0,0,0,0,0,3,3,0,0,0,1,1,0,4,2,50,4,2,50,0,2,24,27:36:00,L
AFC,AFC West,OAK,REG,1,MetLife Stadium,82500,artificial,outdoor,77,Sunny,47,8,NE,11,7,2,2,12,3,25,2,1,0,0,0,0,0,0,0,49,158,3.224,15,25,1.667,32,20,3.912,0,2,133,151,18,9,1,7,3,67,1,2,3,2,0,9,44.556,0,40.667,4,20,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,100,0,0,0,0,0,14,25:10:00,L
AFC,AFC West,KC,REG,1,Arrowhead Stadium,79451,turf,outdoor,72,Sunny,53,9,ESE,15,11,1,3,12,1,8.333,1,0,0,2,1,50,1,0,0,56,245,4.375,17,67,3.941,35,19,4.564,3,4,178,202,24,47,4,47,3,57,0,0,3,3,2,5,42.6,0,43,3,25,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,2,1,0,2,1,50,1,1,100,0,3,10,22:16,L
AFC,AFC West,DEN,REG,1,Sports Authority Field at Mile High,76125,turf,outdoor,77,Partly Cloudy ,24,11,SSW,24,13,8,3,14,7,50,4,3,0,0,0,0,0,0,0,69,361,5.232,32,102,3.188,36,22,7,0,1,259,269,10,21,3,4,0,0,2,17,6,6,6,5,46.8,0,42,7,70,2,0,4,3,1,0,0,0,0,0,4,4,0,0,0,1,1,0,4,3,75,4,3,75,0,0,31,32:24:00,W
NFC,NFC East,PHI,REG,1,Lincoln Financial Field,68532,turf,outdoor,75,Partly Cloudy ,50,8,N,24,14,7,3,19,8,42.105,6,2,0,1,1,100,0,1,0,82,420,5.122,32,145,4.531,45,27,5.5,1,5,275,322,47,62,4,62,1,24,0,0,7,7,5,6,38.333,0,33.667,6,50,3,2,4,2,1,0,1,0,0,0,4,4,0,0,0,2,2,0,2,0,0,1,0,0,0,3,34,30:46:00,W
NFC,NFC East,WAS,REG,1,NRG Stadium,71054,turf,retractable_dome,0,0,0,0,0,20,11,7,2,12,3,25,2,1,0,1,0,0,0,0,0,63,372,5.905,23,131,5.696,37,29,6.025,0,3,241,267,26,36,2,36,2,56,0,0,2,2,1,5,41,1,36.333,7,71,3,2,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,50,2,1,50,0,2,6,30:54:00,W
NFC,NFC East,DAL,REG,1,AT&T Stadium,80000,artificial,retractable_dome,84,Partly Cloudy ,57,7,N,26,14,8,4,9,5,55.556,4,1,0,1,1,100,0,1,0,63,382,6.063,23,127,5.522,37,23,6.375,3,3,255,281,26,0,2,0,2,58,0,0,4,3,3,2,53.5,0,47,10,72,3,1,2,1,1,0,0,0,0,0,2,2,0,0,0,1,1,0,4,2,50,2,1,50,0,4,17,31:24:00,L
NFC,NFC East,NYG,REG,1,Ford Field,65000,artificial,dome,73,Sunny,50,8,SE,16,8,4,4,13,3,23.077,3,0,0,3,2,66.667,1,1,0,57,197,3.456,22,53,2.409,33,18,4.114,2,2,144,163,19,30,2,30,1,14,0,0,3,3,3,5,40.2,0,38,4,25,0,0,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,100,2,2,100,0,2,14,23:56,L
NFC,NFC North,GB,REG,1,CenturyLink Field,67000,artificial,outdoor,73,Sunny,50,11,WNW,19,13,4,2,12,6,50,5,1,0,1,0,0,0,0,0,57,255,4.474,21,80,3.81,33,23,4.861,1,3,175,189,14,0,0,0,4,89,0,0,5,4,2,4,38.25,0,37.5,8,65,1,0,2,1,1,0,0,0,0,0,1,1,0,1,0,1,1,0,3,2,66.667,3,2,66.667,1,1,16,26:40:00,L
NFC,NFC North,CHI,REG,1,Soldier Field,61500,turf,outdoor,75,Partly Cloudy ,41,4,ENE,29,19,5,5,12,5,41.667,4,1,0,0,0,0,0,0,0,69,427,6.188,18,86,4.778,49,34,6.686,2,2,341,349,8,4,1,-1,1,21,1,5,5,4,3,4,40,0,36.5,4,43,1,1,2,2,0,0,0,0,0,0,2,2,0,0,0,2,2,0,3,2,66.667,0,0,0,0,3,20,34:42:00,L
NFC,NFC North,MIN,REG,1,Edward Jones Dome,66000,artificial,dome,71,Sunny,57,8,E,18,10,6,2,12,3,25,3,0,0,0,0,0,0,0,0,57,355,6.228,32,185,5.781,25,17,6.8,0,0,170,170,0,87,1,6,2,48,2,81,7,7,6,5,47.4,0,42.6,7,60,2,0,4,2,1,1,0,0,0,0,4,4,0,0,0,2,2,0,2,2,100,1,1,100,0,0,34,28:17:00,L
NFC,NFC North,DET,REG,1,Ford Field,65000,artificial,dome,73,Sunny,50,8,SE,20,14,5,1,15,10,66.667,9,1,0,0,0,0,0,0,0,63,417,6.619,30,76,2.533,32,22,10.333,0,1,341,346,5,42,3,11,0,0,2,31,7,6,6,2,54.5,0,39.5,8,85,1,0,4,2,2,0,0,0,0,0,3,3,0,1,1,3,2,0,5,3,60,3,2,66.667,0,0,35,36:04:00,W
NFC,NFC South,ATL,REG,1,Georgia Dome,74228,artificial,dome,84,Overcast ,62,4,N,28,21,6,1,11,6,54.545,4,2,0,0,0,0,0,0,0,69,568,8.232,25,123,4.92,43,31,10.114,0,1,445,448,3,1,1,1,1,21,1,0,6,6,5,3,52.333,0,45.667,10,96,1,1,4,3,1,0,0,0,0,0,4,4,0,0,0,3,3,0,3,3,100,2,2,100,0,1,37,31:18:00,W
NFC,NFC South,NO,REG,1,Georgia Dome,74228,artificial,dome,84,Overcast ,62,4,N,30,17,9,4,13,8,61.538,8,0,0,0,0,0,0,0,0,70,472,6.743,28,139,4.964,42,29,7.929,1,0,333,333,0,0,0,0,1,34,0,0,7,7,6,2,50.5,0,50,3,27,1,1,4,1,3,0,0,0,0,0,4,4,0,0,0,2,2,0,6,4,66.667,4,4,100,0,2,34,30:25:00,L
NFC,NFC South,TB,REG,1,Raymond James Stadium,65890,turf,outdoor,88,Partly Cloudy ,49,4,W,17,10,5,2,12,6,50,4,2,0,0,0,0,0,0,0,55,264,4.8,17,102,6,35,22,4.263,2,3,162,183,21,56,4,56,2,52,0,0,3,3,3,5,44,0,36.8,3,15,3,1,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,100,1,1,100,0,3,14,24:48:00,L
NFC,NFC South,CAR,REG,1,Raymond James Stadium,65890,turf,outdoor,88,Partly Cloudy ,49,4,W,19,14,5,0,15,6,40,6,0,0,1,1,100,0,1,0,68,334,4.912,33,113,3.424,34,24,6.314,0,1,221,230,9,40,3,36,0,0,2,4,4,4,2,6,47,0,37.667,6,55,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,3,2,0,3,1,33.333,1,1,100,0,0,20,35:12:00,W
NFC,NFC West,SEA,REG,1,CenturyLink Field,67000,artificial,outdoor,73,Sunny,50,11,WNW,25,8,13,4,11,4,36.364,2,2,0,1,1,100,1,0,0,66,398,6.03,37,207,5.595,28,19,6.586,0,1,191,191,0,24,2,3,3,60,1,21,7,7,3,2,33,0,33,4,69,2,1,4,2,2,0,0,0,0,0,4,4,0,0,0,2,2,0,5,3,60,3,2,66.667,0,1,36,33:20:00,W
NFC,NFC West,STL,REG,1,Edward Jones Dome,66000,artificial,dome,71,Sunny,57,8,E,15,10,4,1,14,4,28.571,3,1,0,0,0,0,0,0,0,63,318,5.048,22,72,3.273,36,24,6,2,5,246,273,27,24,5,24,1,26,0,0,3,3,1,6,46.5,0,45.5,13,121,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,2,6,31:43:00,W
NFC,NFC West,SF,REG,1,AT&T Stadium,80000,artificial,retractable_dome,84,Partly Cloudy ,57,7,N,19,11,6,2,12,7,58.333,6,1,0,0,0,0,0,0,0,54,319,5.907,30,127,4.233,23,16,8,0,1,192,201,9,61,1,13,1,0,3,48,5,5,3,4,45.75,0,45.75,11,78,0,0,4,2,1,0,1,0,0,0,4,4,0,0,0,1,0,0,3,2,66.667,2,2,100,0,0,28,28:36:00,W
NFC,NFC West,ARI,REG,1,University of Phoenix Stadium,63400,turf,retractable_dome,100,Partly Cloudy ,29,7,SW,22,14,4,4,13,6,46.154,4,2,0,0,0,0,0,0,0,65,403,6.2,26,109,4.192,37,24,7.538,0,2,294,304,10,12,0,0,3,49,1,12,4,4,4,4,43.6,1,32.2,5,23,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,3,2,66.667,1,1,100,0,2,18,31:49:00,W
